"site" "deployment_id" "filename" "label" "confidence" "site.id" "day.id" "image.id" "obs.class"
"CT-4A" "CT-4A_April26-May19" "RCNX1271.JPG" "deer" 3.98628847634512 10 15 5 NA
"CT-4A" "CT-4A_April26-May19" "RCNX1271.JPG" "deer" 7.48701361737651 10 15 5 NA
"CT-4A" "CT-4A_April26-May19" "RCNX1274.JPG" "deer" 5.3619152687828 10 15 6 NA
"CT-4A" "CT-4A_April26-May19" "RCNX1277.JPG" "deer" 7.06942384702505 10 15 7 NA
"CT-4A" "CT-4A_April26-May19" "RCNX1277.JPG" "deer" 8.25456889314274 10 15 7 NA
"CT-4A" "CT-4A_April26-May19" "RCNX1280.JPG" "deer" 8.37720122258723 10 15 8 1
"CT-4A" "CT-4A_April26-May19" "RCNX1283.JPG" "deer" 7.68382396264864 10 15 9 NA
"CT-4A" "CT-4A_April26-May19" "RCNX1286.JPG" "deer" 6.89679443773532 10 15 10 1
"CT-4A" "CT-4A_April26-May19" "RCNX1289.JPG" "deer" 2.9558659820639 10 15 11 1
"CT-4A" "CT-4A_April26-May19" "RCNX1292.JPG" "deer" 7.90163748385917 10 15 12 NA
"CT-4A" "CT-4A_April26-May19" "RCNX1292.JPG" "deer" 8.804725252617 10 15 12 NA
"CT-4A" "CT-4A_April26-May19" "RCNX1295.JPG" "deer" 10.1265911030493 10 15 13 NA
"CT-4A" "CT-4A_April26-May19" "RCNX1295.JPG" "deer" 8.74017672992878 10 15 13 NA
"CT-4A" "CT-4A_April26-May19" "RCNX1298.JPG" "deer" 9.31561088358338 10 15 14 NA
"CT-4A" "CT-4A_April26-May19" "RCNX1301.JPG" "deer" 8.74017672992878 10 15 15 NA
"CT-4A" "CT-4A_April26-May19" "RCNX1304.JPG" "deer" 5.6121249564133 10 15 16 1
"CT-4A" "CT-4A_April26-May19" "RCNX1307.JPG" "deer" 7.58058970215165 10 15 17 NA
"CT-4A" "CT-4A_April26-May19" "RCNX1307.JPG" "deer" 7.92904646169849 10 15 17 NA
"CT-4A" "CT-4A_April26-May19" "RCNX1310.JPG" "deer" 6.64409016878162 10 15 18 NA
"CT-4B" "CT-4B_April26-May19" "RCNX0104.JPG" "deer" 8.29379960884693 11 1 3 NA
"CT-4B" "CT-4B_April26-May19" "RCNX0128.JPG" "deer" 9.43340392009061 11 3 2 NA
"CT-4B" "CT-4B_April26-May19" "RCNX0131.JPG" "deer" 0.27524463760218 11 3 3 NA
"CT-4B" "CT-4B_April26-May19" "RCNX0134.JPG" "deer" 3.948434442056 11 4 1 1
"CT-4B" "CT-4B_April26-May19" "RCNX0191.JPG" "deer" 7.66230775277561 11 9 1 NA
"CT-4B" "CT-4B_April26-May19" "RCNX0200.JPG" "deer" -0.538141596857299 11 9 4 0
"CT-4B" "CT-4B_April26-May19" "RCNX0206.JPG" "deer" 3.77603962955634 11 10 1 1
"CT-4B" "CT-4B_April26-May19" "RCNX0209.JPG" "deer" 8.804725252617 11 10 2 NA
"CT-4B" "CT-4B_April26-May19" "RCNX0212.JPG" "deer" 6.5210217966815 11 10 3 1
"CT-4B" "CT-4B_April26-May19" "RCNX0221.JPG" "deer" 0.073753414038452 11 11 1 0
"CT-4B" "CT-4B_April26-May19" "RCNX0221.JPG" "deer" 7.5421034109184 11 11 1 0
"CT-4B" "CT-4B_April26-May19" "RCNX0224.JPG" "deer" 4.50156039054589 11 11 2 1
